achauni_to stone
gwerthróia_to grieve over
gwerthái_to obsess
gwerver_to evolve
gwerádha_to impose
gwerémi_to dominate
gwescára_to deserve
gwesúni_to appreciate
gwichi_to win
gwidhúvi_to axe
gwili_to loop
gwini_to drive
gwináli_to fence
gwiranáithi_to evidence
gwironóni_to viking
gwiráchi_to deviate
gwiróthi_to attest
gwisusái_to philosophise
gwolthúvi_to cut hair
gwolwi_to trouble
gworghe_to carry out
gworvor_to exercise
gwothróni_to rebel
gwádha_to submit
gwádhli_to venture
gwáini_to curve
gwáli_to rule
gwára_to separate
gwáthi_to predict
gwáthni_to motivate
gwédhi_to pray
gwéi_to wish
gwéini_to weave
gwéithi_to raid
gwéithói_to bitch
gwéni_to relate
gwépi_to pronounce
gwérédhi_to travel fast
gwéthi_to lead
gwéádhi_to spin
gwídhi_to comprehend
gwínái_to turn white, to pale
gwíri_to check
gwísavlasi_to marinade
gwíthi_to spiral
gwóchathé_to subject
gwóchelthi_to avoid
gwóchi_to address
gwóchládhi_to victimise
gwóchlé_to oppress
gwóchrávi_to sign
gwócháli_to hollow
gwóchéli_to accompany
gwódherchi_to bury
gwódhi_to steer
gwódháma_to endure
gwói_to transport
gwóiar_to understate
gwóievri_to store
gwóiávi_to get
gwóiéli_to obey
gwóling_to trip
gwólung_to support
gwólúithi_to strain
gwómen_to aspire
gwór_to produce
gwórethwiri_to assist
gwóréthi_to help
gwóródhi_to endow
gwóscáthi_to shelter
gwóthi_to carry on
gwóthraiéthi_to supplant
gwóthái_to neglect
gwóvédhi_to mine
gwóvéri_to well
gávi depru'médhi_to have lunch
gávi depru'váréi_to have breakfast
géli_to guarantee
géri_to kneel
gósi_to pour
góva_to fold
gúsi_to energise
iachi_to heal
iantha_to desire
ianwi_to correct
ieméni_to ferment
iméthi_to multiply
inchór_to close
insúi_to root
iothini_to stew
ithái_to fall
iuthi_to boil
iáini_to ice
iáthi_to borrow
iéi_to curse
iési_to radiate
iónávó_to justify
iór_to offer
iósi_to phase
iúini_to yoke
ladháni_to deafen
laióni_to paralyse
lamcherdhi_to labour
lamchlé_to manipulate
lamdhelghe_to maintain
lami_to handle
lamsíri_to reach out
lamthái_to stroke
lamávó_to manufacture
lanchi_to lance
lanwi_to fill
lathávó_to flatten
launi_to wash
lauthri_to bathe
lavar_to speak
lechi_to slant
lechuni_to incline
lenári_to glide
lerghe_to trace
liauthi_to shape
lichi_to bind
lichreswi_to catalogue
lichádha_to pave
licháli_to tile
limi_to make lame
linachochi_to skirt
ling_to jump
linghóvi_to lap
linsalái_to brine
linwi_to pool
linái_to dress
lisci_to tire
lithi_to celebrate
liúni_to colour
lochéthi_to flash
lonchi_to swallow
longni_to ship
lonvrís_to crash
losci_to tilt
loscrithi_to swing
luchi_to beg
lung_to release
luthri_to make dirty
lái_to leave alone
lédhghái_to weaken
léia_to deposit
léni_to slide
lí_to lie
líni_to denounce
lóchwi_to illuminate
lódhi_to mess up
lói_to establish
lóithrái_to bed
lóiáni_to bury
lópargha_to shimmer
lópi_to pronounce
lópápis_to glimpse
lósarwéri_to avoid
lósi_to pursue
lúi_to commit
lúithi_to load
lúithri_to struggle
lúvi_to adore
macharni_to nourish
madhéri_to forgive
mantha_to move
manthalami_to gesture
marchi_to horse-ride
marthali_to ferret
marwi_to die
mathi_to favour
mathichi_to enshrine
mathíri_to mother
mavledhwéni_to bastardise
medhechughri_to depart from the centre
medháchi_to centralise
men_to think
menanchi_to addict
menghávi_to learn
menroni_to threaten
menródhi_to teach
mensiri_to stress
menthorchi_to sin
menthwi_to chew
menthái_to feel
menvethi_to remember
menái_to relate
menáidhwi_to enthuse
mesami_to deteriorate
mesci_to intoxicate
mescumáni_to get high
mescúni_to suck
mesi_to estimate
methelsóitha_to compute
methi_to harvest
mi, ti, é ...-esi sóru_to apologise
mil_to destroy
miluchumi_to turtle
mini_to explain
mothi_to fuck
muchi_to smother
mumghar_to mumble
máieloghrúni_to refrigerate
máiúni_to serve
mári_to grow
médha_to centre
móli_to praise
mórthechi_to go out to sea
nasci_to shackle
nathwi_to compose poems
nemái_to drift
neni_to nurse
nerchi_to rest
nerthi_to strengthen
nesachi_to approximate
nesconáthi_to associate
nesi_to approach
nithi_to locate
nithémi_to claim
náma_to disapprove
nátha_to chant
néa_to trust
némi_to hang
ochli_to booze
oghri_to freeze
oghwi_to conduct
olchrávi_to describe
oldháia_to perfect
olghávi_to exhaust
olthóthi_to publish
olédhi_to space
onóvi_to quench
ordhi_to hammer
orghe_to murder
orthi_to calve
orvi_to inherit
orísi_to donate
osci_to score
oscúni_to notch
pantha_to hurt
panthávó_to torture
parali_to bottle
pelfrí_to extend
pelghar_to telephone
peládha_to post
pelápis_to watch television
penantha_to depend
penarwéri_to prefer
peniachi_to crown
penlósi_to result
penróthi_to roll
pensoithi_to bill
peníthi_to bow
penúchi_to preside
pethamasi_to plead
pethis_to save
pethrarpéni_to square
pethrwanthi_to intersect
pethári_to plane
popi_to cook
prenúchi_to hang
primi_to bug
prin_to buy
pritha_to compose
prithwi_to price
péli_to mean
pétha_to ask
ranarthwi_to be materialistic
ranchóili_to split
ranghlén_to select
ranghávi_to participate
ranráia_to prefix
ranwen_to reckon
rathúvor_to gamble
resethi_to compel
resi_to compete
reswáli_to list
rethanachwi_to mail
rethi_to run
richái_to furrow
rinchi_to need
rini_to spring
rinóthi_to sell
rithi_to race
rithwi_to ford
riúni_to liberate
rochaníái_to encounter
rodhovni_to frighten
rodháni_to dose
romédhi_to marvel
rothachi_to round
ruchi_to humiliate
runi_to keep a secret
ráia_to front
ráicham_to advance
ráimantha_to promote
ráni_to divide
ráthi_to guarantee
ráthni_to wall
rédhi_to ride
réi_to direct
réithi_to practise law
réni_to flow
rénvosi_to rhythmise
rénáchni_to lactate
rími_to number
rísi_to tie
ríthiúni_to form
róchanwi_to assemble
ródhi_to give
róswer_to provide
róthi_to wheel
róvosi_to amaze
róvódhi_to warn
sachri_to damn
salichi_to flex
salái_to salt
samwi_to convene
samári_to waste
sathwi_to state
sathávó_to satisfy
scochwi_to shake
scoróthi_to stir
scothi_to raid
scothíri_to shovel
scrís_to spit
scuvli_to prey
scáthi_to shadow
scéthi_to shield
scíni_to ski
scóchi_to activate
sedhlépi_to saddle
selghe_to hunt
selwi_to own
selwáni_to herd
seni_to age
sentha_to travel
senthichi_to accompany
serghe_to make sick
seri_to sever
seruvríthi_to be obstinate
serwádha_to posit
serúthái_to massage
sesani_to preside
simi_to halve
siriantha_to long for
slanchatha_to greet
sludhóni_to raft
sláni_to cure
slóini_to collect
slúdhi_to sled
sná_to swim
sochúni_to stump
soldhuri_to guard
solthóthi_to police
solwi_to go backwards
sonithi_to chase
spamenwi_to phrase
sparni_to prickle
spathothi_to create a myth
spathóthi_to making myths
spá techwath_to say farewell
spá_to say
spághlanwi_to speak clearly
suchama_to train
sucharthi_to cure
sucherthi_to insure
suchnusi_to collect
suchrís_to ejaculate
suchwel_to volunteer
suchwichi_to earn
suchwépi_to compliment
suchwódhi_to seduce
sucháithi_to captivate
sudhelghe_to last
sudherchi_to view
sudháma_to allow
sudhári_to excite
sughlanwi_to purefy
sughlí_to glue
sughni_to whirl
suiar_to laugh
suiáli_to orgasm
suiávi_to obtain
suiéli_to caution
suling_to dance
sulái_to relax
suléi_to govern
sulódhi_to tousle
sumen_to esteem
sumoláthi_to congratulate
sumóli_to flatter
sunémi_to float
suprimi_to vaccinate
suranwen_to proportion
surithi_to negotiate
suráni_to ration
suréi_to straighten
suréini_to court
suródhi_to reward
suscochi_to function
suspá_to commend
suthái_to tidy up
suvarna_to rely
suvióni_to slice
suvor_to play
suvrichi_to picture
suvádhi_to dive
swanghóva_to develop
swantha_to fancy
swapisóini_to fantasise
swarvor_to enjoy
swarwéri_to wank
swausi_to sound
swaéli_to welcome
swer_to look after
swáithi_to bless
swémóthi_to wank
swéréichi_to cope
swéródhi_to devote
swévrethi_to succeed
swísi_to sweat
swódhi_to scent
sá soldhur_to stand guard
sá_to stand
sái a_to attempt
sái_to look for
sáionali_to robe
sáithi_to sollicit
sáithli_to quest
sámi_to rise
sédhi_to sit
sénan_to accomplish
sépa_to follow
sési_to sow
síli_to descend
sína_to link
sínúni_to weather
sóchi_to rope
sóithi_to add
sóni_to sleep
súchi_to grimace
súithi_to melt
súli_to observe
talami_to surface
tami_to classify
tamwi_to lick
tamávó_to qualify
tanchári_to hover
tarani_to storm
tarathri_to bore
tarchwára_to differentiate
tarchwéri_to pass through
tarchóni_to penetrate
tardhelghe a_to belong to
tarinchi_to nail
tarláni_to imbue
tarni_to go through
tarsóithi_to calculate
tarthi_to dry
tarthári_to thunder
tarwi_to bully
tarwísi_to transpire
tarái_to experience
tarávó_to effect
tasci_to harass
tascuni_to hide
taulavar_to whisper
tausi_to be quiet
tausávó_to silence
tauvor_to sneak
techi_to depart
techávó_to beautify
teni_to fire
terghe_to market
tesi_to warm
tethái_to caress
tichi_to bewitch
tinchimri_to tax
ting_to fix
tioprithi_to pay
tiothami_to excell
tiuvithi_to survive
tióchwór_to create
tiúni_to finish
to free_to liberate
tonchi_to swear
torchi_to twist
treveradha_to transpose
trochli_to baptise
trughni_to snore
trulathi_to monkey around
tréa_to cross
tréchi_to defeat
tréchlethi_to bar
tréchwerthi_to convert
trélavar_to translate
tréliauthi_to metamorphose
tréri_to cross
tréródhi_to deliver
tréspá_to interpret
tréswantha_to covet
tréver_to transfer
trévi_to dwell
tréádha_to transmit
tróia_to weep
tróiar_to lament
tróiethi_to forgive
tróimen_to mourn
tróini_to defile
trúia_to beg
trúini_to deliver babies
tuchethi_to spank
tuchi_to grumble
turchi_to grunt
tusi_to bake
tái_to touch
táimáli_to contact
téghni_to cover
téia_to house
téiprinwi_to shop
téisalwi_to station
téithi_to possess
tépi_to jog
tí_to sting
tóiúni_to thatch
tólis_to reduce
tóthi_to populate
túri_to tower
uchar_to exaggerate
uchi_to rise
uchródhi_to give up
uchéli_to elevate
uláni_to satisfy
ulídhi_to feast
upi_to stipulate
urarpeni_to confront
urchathé_to object
urethi_to defend
urghar_to argue
urpá_to contradict
ursámi_to resist
urthái_to conspire
urávó_to react
áchni_to edge
áchwári_to sharpen
ádha enthéi gwer_to cut in on
ádha_to place
ádhvói_to kick
áelíni_to gas
ághri_to massacre
ái cocharath_to fall in love
ái_to become
áidhi_to flame
áidhwi_to heat
áiedhári_to distinguish
áiúni_to age
álwi_to grow
áma_to approve
ámáni_to ally >
ána_to breathe
áni_to inspire
ápis_to see
ári_to fly
ávo_to do
ávó sulingen menthu_to have a chat
áéli_to wind
áéni_to well
échathe_to eject
édhi_to pace
édhri_to ignite
édhumni_to film
édhuvédhi_to vault
éithéithi_to impoverish
éprédhi_to ride horses
éra_to surround
érchládhi_to exercise
érchwathwi_to hypothesise
érchwáthi_to guess
érdhuli_to dangle
érfri_to disperse
érléia_to do lay-out
érádha_to situate
éthwi_to graze
íthi_to lower
íthlái_to recline
íthwi_to sustain
íthwéri_to distribute
íthói_to afflict
ívi_to drink
óchi_to complete
óchródhi_to bestow
ódha_to smell
óighar_to shepherd
óini_to foam
óipi_to fuck
óithi_to take an oath
óni_to flood
ósconwi_to contemplate
ósvrithi_to reconsider
óswídhi_to evaluate
óvni_to fear
óvwi_to knot
únái_to flow
úranchi_to branch
úri in haman shír can_to be bored
úri_to find
úárghe_to have sex
